,CompensationCurrency,GenderSelect,Country,Age,EmploymentStatus,StudentStatus,LearningDataScience,CodeWriter,CareerSwitcher,CurrentJobTitleSelect,TitleFit,CurrentEmployerType,DataScienceIdentitySelect,FormalEducation,MajorSelect,Tenure,LanguageRecommendationSelect,CompensationAmount,ExchangeRate(USA),CompensationYearUSD
7004,NA,Male,Czech Republic,35,Employed full-time,NA,NA,Yes,NA,Scientist/Researcher,Fine,Employed by college or university,No,Doctoral degree,Mathematics or statistics,3 to 5 years,R,NA,NA,NA
7005,NA,Male,Czech Republic,24,Employed full-time,NA,NA,Yes,NA,Data Scientist,Fine,Employed by a company that performs advanced analytics,NA,Master's degree,Computer Science,3 to 5 years,Python,NA,NA,NA
7006,NA,Male,Czech Republic,23,Employed part-time,NA,NA,Yes,NA,Data Scientist,Perfectly,"Employed by professional services/consulting firm,Employed by company that makes advanced analytic software,Employed by a company that performs advanced analytics",NA,Bachelor's degree,Engineering (non-computer focused),1 to 2 years,Python,30000,NA,NA
7007,NA,Male,Czech Republic,37,Employed full-time,NA,NA,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7008,NA,Male,Czech Republic,35,Employed full-time,NA,NA,Yes,NA,Scientist/Researcher,Perfectly,Employed by college or university,Yes,Doctoral degree,Psychology,6 to 10 years,Python,NA,NA,NA
7009,NA,Male,Czech Republic,27,Employed full-time,NA,NA,Yes,NA,Data Scientist,Fine,"Employed by professional services/consulting firm,Employed by a company that doesn't perform advanced analytics",NA,Master's degree,A social science,1 to 2 years,NA,NA,NA,NA
7010,NA,Male,Czech Republic,25,"Not employed, but looking for work",NA,NA,NA,NA,NA,NA,NA,Yes,Master's degree,Computer Science,3 to 5 years,Python,NA,NA,NA
7011,NA,Male,Czech Republic,30,Employed full-time,NA,NA,Yes,NA,Engineer,Fine,Employed by a company that performs advanced analytics,No,NA,Other,1 to 2 years,Python,NA,NA,NA
7012,NA,Male,Czech Republic,29,Employed full-time,NA,NA,Yes,NA,Data Scientist,Fine,Employed by a company that performs advanced analytics,NA,Master's degree,Computer Science,3 to 5 years,NA,NA,NA,NA
7013,NA,Male,Czech Republic,36,Employed full-time,NA,NA,Yes,NA,Computer Scientist,Fine,Employed by a company that doesn't perform advanced analytics,Yes,Master's degree,Computer Science,Less than a year,Python,NA,NA,NA
7014,NA,Male,Czech Republic,50,Employed full-time,NA,NA,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7015,NA,Male,Czech Republic,19,Employed part-time,NA,NA,Yes,NA,Other,Fine,Employed by college or university,No,Some college/university study without earning a bachelor's degree,Computer Science,Less than a year,Python,NA,NA,NA
7016,NA,Male,Czech Republic,34,Employed full-time,NA,NA,No,Yes,Other,Fine,Employed by professional services/consulting firm,No,Master's degree,Mathematics or statistics,1 to 2 years,Python,NA,NA,NA
7017,NA,Male,Czech Republic,42,Employed full-time,NA,NA,Yes,NA,Data Scientist,Fine,Employed by professional services/consulting firm,NA,Master's degree,Computer Science,More than 10 years,SQL,NA,NA,NA
7018,NA,Male,Czech Republic,36,Employed full-time,NA,NA,Yes,NA,Data Scientist,Perfectly,Employed by a company that performs advanced analytics,NA,Doctoral degree,Computer Science,More than 10 years,R,NA,NA,NA
7019,NA,Male,Czech Republic,41,Employed full-time,NA,NA,Yes,NA,Scientist/Researcher,Poorly,Employed by professional services/consulting firm,Sort of (Explain more),Master's degree,Mathematics or statistics,6 to 10 years,NA,NA,NA,NA
7020,NA,Male,Czech Republic,26,Employed full-time,NA,NA,Yes,NA,Data Scientist,Fine,Employed by company that makes advanced analytic software,NA,Master's degree,Computer Science,1 to 2 years,NA,NA,NA,NA
7021,NA,Male,Czech Republic,27,"Not employed, but looking for work",NA,NA,NA,NA,NA,NA,NA,Sort of (Explain more),Master's degree,Physics,Less than a year,Python,NA,NA,NA
7022,NA,Male,Czech Republic,27,Employed full-time,NA,NA,Yes,NA,Engineer,Fine,Employed by a company that doesn't perform advanced analytics,No,Master's degree,Electrical Engineering,3 to 5 years,NA,NA,NA,NA
7023,NA,Male,Czech Republic,22,Employed part-time,NA,NA,Yes,NA,Machine Learning Engineer,Perfectly,Employed by a company that performs advanced analytics,Yes,Bachelor's degree,Computer Science,Less than a year,NA,NA,NA,NA
7024,NA,Male,Czech Republic,32,Employed full-time,NA,NA,Yes,NA,Programmer,Fine,Employed by a company that performs advanced analytics,No,Bachelor's degree,Computer Science,More than 10 years,NA,NA,NA,NA
7025,NA,Male,Czech Republic,26,"Independent contractor, freelancer, or self-employed",NA,NA,Yes,NA,Data Scientist,Perfectly,Self-employed,NA,Master's degree,A humanities discipline,3 to 5 years,NA,NA,NA,NA
7026,NA,Male,Czech Republic,32,"Independent contractor, freelancer, or self-employed",NA,NA,Yes,NA,Other,Fine,Employed by professional services/consulting firm,Yes,Some college/university study without earning a bachelor's degree,Computer Science,3 to 5 years,NA,NA,NA,NA
7027,NA,Male,Czech Republic,64,"Independent contractor, freelancer, or self-employed",NA,NA,Yes,NA,Researcher,Fine,Self-employed,Sort of (Explain more),Doctoral degree,Mathematics or statistics,1 to 2 years,NA,NA,NA,NA
7028,NA,Male,Czech Republic,36,Employed full-time,NA,NA,Yes,NA,Data Scientist,Fine,Employed by a company that doesn't perform advanced analytics,NA,Doctoral degree,Computer Science,6 to 10 years,NA,NA,NA,NA
7029,NA,Male,Denmark,53,Employed full-time,NA,NA,Yes,NA,Business Analyst,Fine,"Employed by professional services/consulting firm,Employed by company that makes advanced analytic software,Employed by a company that performs advanced analytics",No,Some college/university study without earning a bachelor's degree,Mathematics or statistics,More than 10 years,Python,NA,NA,NA
7030,NA,Male,Denmark,29,Employed full-time,NA,NA,Yes,NA,Scientist/Researcher,Fine,Employed by college or university,Yes,Doctoral degree,Mathematics or statistics,3 to 5 years,R,66390,NA,NA
7031,NA,Male,Denmark,31,Employed full-time,NA,NA,Yes,NA,Software Developer/Software Engineer,Fine,Employed by professional services/consulting firm,No,Master's degree,Electrical Engineering,3 to 5 years,Python,NA,NA,NA
7032,NA,Male,Denmark,36,"Not employed, but looking for work",NA,NA,NA,NA,NA,NA,NA,Sort of (Explain more),Master's degree,"Information technology, networking, or system administration",1 to 2 years,Python,NA,NA,NA
7033,NA,Male,Denmark,46,Employed full-time,NA,NA,Yes,NA,Scientist/Researcher,Fine,"Employed by a company that performs advanced analytics,Employed by a company that doesn't perform advanced analytics",Yes,Doctoral degree,Mathematics or statistics,More than 10 years,R,NA,NA,NA
7034,NA,Male,Denmark,29,I prefer not to say,Yes,"Yes, I'm focused on learning mostly data science skills",NA,NA,NA,NA,NA,Yes,Bachelor's degree,Physics,NA,Python,NA,NA,NA
7035,NA,Male,Denmark,40,Employed full-time,NA,NA,Yes,NA,Researcher,Fine,"Employed by professional services/consulting firm,Employed by company that makes advanced analytic software,Employed by college or university",Yes,Doctoral degree,Computer Science,More than 10 years,Python,NA,NA,NA
7036,NA,Male,Denmark,31,Employed full-time,NA,NA,No,Yes,Software Developer/Software Engineer,Fine,Employed by professional services/consulting firm,No,Master's degree,Electrical Engineering,Less than a year,R,NA,NA,NA
7037,NA,Male,Denmark,33,Employed full-time,NA,NA,Yes,NA,Data Miner,NA,NA,No,Master's degree,A social science,1 to 2 years,Python,NA,NA,NA
7038,NA,Female,Denmark,27,"Independent contractor, freelancer, or self-employed",NA,NA,Yes,NA,Data Analyst,Fine,Employed by non-profit or NGO,No,Master's degree,NA,Less than a year,SQL,NA,NA,NA
7039,NA,Male,Denmark,39,Employed full-time,NA,NA,Yes,NA,Programmer,Poorly,Employed by professional services/consulting firm,Sort of (Explain more),Master's degree,Physics,3 to 5 years,Python,120000,NA,NA
7040,NA,Male,Denmark,22,Employed full-time,NA,NA,No,Yes,Programmer,Poorly,Employed by a company that performs advanced analytics,No,Bachelor's degree,Physics,1 to 2 years,Python,NA,NA,NA
7041,NA,Male,Denmark,44,Employed full-time,NA,NA,Yes,NA,Computer Scientist,Fine,"Employed by company that makes advanced analytic software,Employed by a company that performs advanced analytics",Sort of (Explain more),Master's degree,Computer Science,3 to 5 years,Python,NA,NA,NA
7042,NA,Male,Denmark,41,"Not employed, but looking for work",NA,NA,NA,NA,NA,NA,NA,Yes,Master's degree,Physics,1 to 2 years,R,NA,NA,NA
7043,NA,Male,Denmark,26,"Not employed, but looking for work",NA,NA,NA,NA,NA,NA,NA,No,Doctoral degree,Mathematics or statistics,Less than a year,R,NA,NA,NA
7044,NA,Male,Denmark,46,Employed full-time,NA,NA,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7045,NA,Male,Denmark,43,"Not employed, but looking for work",NA,NA,NA,NA,NA,NA,NA,Sort of (Explain more),Doctoral degree,Mathematics or statistics,3 to 5 years,Python,NA,NA,NA
7046,NA,Male,Denmark,35,Employed full-time,NA,NA,Yes,NA,Business Analyst,NA,Employed by a company that doesn't perform advanced analytics,No,Master's degree,NA,6 to 10 years,SQL,NA,NA,NA
7047,NA,Male,Denmark,24,Employed full-time,NA,NA,No,Yes,Software Developer/Software Engineer,Perfectly,Employed by professional services/consulting firm,No,Bachelor's degree,Engineering (non-computer focused),Less than a year,Python,NA,NA,NA
7048,NA,Male,Denmark,22,Employed part-time,NA,NA,No,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7049,NA,Male,Denmark,31,Employed full-time,NA,NA,Yes,NA,Scientist/Researcher,Fine,Employed by a company that doesn't perform advanced analytics,No,Doctoral degree,Physics,6 to 10 years,NA,NA,NA,NA
7050,NA,Male,Denmark,40,Employed full-time,NA,NA,Yes,NA,Data Scientist,Fine,Employed by a company that performs advanced analytics,NA,Master's degree,Electrical Engineering,More than 10 years,NA,NA,NA,NA
7051,NA,Male,Denmark,36,Employed full-time,NA,NA,Yes,NA,Software Developer/Software Engineer,Fine,"Employed by company that makes advanced analytic software,Employed by a company that performs advanced analytics",Sort of (Explain more),Bachelor's degree,Computer Science,6 to 10 years,NA,NA,NA,NA
7052,NA,Male,Denmark,39,"Not employed, but looking for work",NA,NA,NA,NA,NA,NA,NA,Sort of (Explain more),Master's degree,A humanities discipline,6 to 10 years,Python,NA,NA,NA
7053,NA,Male,Denmark,52,"Independent contractor, freelancer, or self-employed",NA,NA,Yes,NA,Data Scientist,Fine,"Employed by a company that performs advanced analytics,Self-employed",NA,Master's degree,NA,More than 10 years,Python,NA,NA,NA
7054,NA,Female,Denmark,35,Employed full-time,NA,NA,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7055,NA,Male,Denmark,33,Employed full-time,NA,NA,Yes,NA,Data Scientist,Fine,Employed by company that makes advanced analytic software,NA,Bachelor's degree,NA,3 to 5 years,NA,NA,NA,NA
7056,NA,Male,Denmark,27,Employed full-time,NA,NA,Yes,NA,Scientist/Researcher,Perfectly,Employed by college or university,No,Master's degree,A social science,3 to 5 years,NA,NA,NA,NA
7057,NA,Male,Denmark,37,Employed full-time,NA,NA,No,Yes,Business Analyst,Fine,Employed by a company that doesn't perform advanced analytics,No,Master's degree,Physics,3 to 5 years,Python,NA,NA,NA
7058,NA,Male,Denmark,34,"Not employed, but looking for work",NA,NA,NA,NA,NA,NA,NA,Sort of (Explain more),Doctoral degree,Physics,6 to 10 years,Python,NA,NA,NA
7059,NA,Male,Denmark,56,Employed full-time,NA,NA,Yes,NA,Scientist/Researcher,Perfectly,Employed by government,No,Professional degree,NA,6 to 10 years,Python,NA,NA,NA
7060,NA,Male,Denmark,23,Employed part-time,NA,NA,Yes,NA,Other,Fine,Employed by college or university,Sort of (Explain more),Bachelor's degree,"Information technology, networking, or system administration",1 to 2 years,Python,NA,NA,NA
7061,NA,Male,Denmark,23,"Independent contractor, freelancer, or self-employed",NA,NA,No,Yes,Statistician,Poorly,Self-employed,No,I did not complete any formal education past high school,NA,Less than a year,Python,NA,NA,NA
7062,NA,Male,Denmark,28,Employed full-time,NA,NA,Yes,NA,Software Developer/Software Engineer,Fine,Employed by a company that performs advanced analytics,No,Master's degree,Computer Science,1 to 2 years,NA,NA,NA,NA
7063,NA,NA,Denmark,23,Employed part-time,NA,NA,No,Yes,Scientist/Researcher,Poorly,Employed by professional services/consulting firm,No,Master's degree,A health science,1 to 2 years,R,NA,NA,NA
7064,NA,Male,Denmark,39,Employed full-time,NA,NA,Yes,NA,Scientist/Researcher,Fine,Employed by college or university,Yes,Doctoral degree,Computer Science,6 to 10 years,Julia,NA,NA,NA
7065,NA,Male,Denmark,31,Employed full-time,NA,NA,Yes,NA,Researcher,Fine,Employed by college or university,Yes,Master's degree,NA,NA,NA,NA,NA,NA
7066,NA,Male,Denmark,26,Employed full-time,NA,NA,Yes,NA,Software Developer/Software Engineer,Perfectly,Employed by a company that doesn't perform advanced analytics,No,Master's degree,Computer Science,Less than a year,NA,NA,NA,NA
7067,NA,Male,Denmark,28,Employed full-time,NA,NA,No,Yes,Business Analyst,Fine,Employed by professional services/consulting firm,Yes,Master's degree,"Information technology, networking, or system administration",Less than a year,Python,NA,NA,NA
7068,NA,Male,Denmark,24,Employed full-time,NA,NA,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7069,NA,Male,Denmark,25,Employed full-time,NA,NA,Yes,NA,Data Scientist,NA,NA,NA,Master's degree,Mathematics or statistics,1 to 2 years,NA,NA,NA,NA
7070,NA,Male,Denmark,34,Employed full-time,NA,NA,No,Yes,Engineer,Poorly,Employed by professional services/consulting firm,No,Doctoral degree,Engineering (non-computer focused),1 to 2 years,NA,NA,NA,NA
7071,NA,Male,Denmark,36,Employed full-time,NA,NA,Yes,NA,Statistician,Fine,Employed by company that makes advanced analytic software,Sort of (Explain more),Doctoral degree,NA,3 to 5 years,NA,NA,NA,NA
7072,NA,A different identity,Denmark,30,I prefer not to say,Yes,"Yes, I'm focused on learning mostly data science skills",NA,NA,NA,NA,NA,Yes,I prefer not to answer,Computer Science,NA,NA,NA,NA,NA
7073,NA,Male,Denmark,26,Employed full-time,NA,NA,Yes,NA,Data Analyst,Fine,Employed by professional services/consulting firm,Sort of (Explain more),Master's degree,NA,Less than a year,NA,NA,NA,NA
7074,NA,Male,Denmark,39,Employed part-time,NA,NA,Yes,NA,Business Analyst,Poorly,Employed by company that makes advanced analytic software,No,Master's degree,Mathematics or statistics,6 to 10 years,NA,NA,NA,NA
7075,NA,Male,Denmark,49,Employed full-time,NA,NA,Yes,NA,Business Analyst,Fine,Employed by professional services/consulting firm,Yes,Master's degree,Mathematics or statistics,More than 10 years,NA,NA,NA,NA
7076,NA,Male,Denmark,24,Employed part-time,NA,NA,Yes,NA,Programmer,Fine,Employed by a company that doesn't perform advanced analytics,No,Master's degree,Biology,1 to 2 years,NA,NA,NA,NA
7077,NA,Male,Denmark,40,Employed full-time,NA,NA,Yes,NA,Data Analyst,Poorly,Employed by government,No,Master's degree,NA,NA,NA,NA,NA,NA
7078,NA,Male,Denmark,29,Employed part-time,NA,NA,Yes,NA,Software Developer/Software Engineer,Poorly,Employed by a company that doesn't perform advanced analytics,No,Bachelor's degree,NA,1 to 2 years,NA,NA,NA,NA
7079,NA,Male,Egypt,24,"Not employed, but looking for work",NA,NA,NA,NA,NA,NA,NA,No,Bachelor's degree,"Information technology, networking, or system administration",Less than a year,Python,NA,NA,NA
7080,NA,Male,Egypt,22,"Not employed, but looking for work",NA,NA,NA,NA,NA,NA,NA,Sort of (Explain more),Bachelor's degree,Computer Science,Less than a year,Python,NA,NA,NA
7081,NA,Male,Egypt,22,"Not employed, but looking for work",NA,NA,NA,NA,NA,NA,NA,No,Some college/university study without earning a bachelor's degree,Electrical Engineering,3 to 5 years,C/C++/C#,NA,NA,NA
7082,NA,Male,Egypt,33,I prefer not to say,No,"Yes, I'm focused on learning mostly data science skills",NA,NA,NA,NA,NA,Yes,Bachelor's degree,"Information technology, networking, or system administration",NA,Python,NA,NA,NA
7083,NA,Female,Egypt,31,Employed full-time,NA,NA,No,Yes,Data Miner,Perfectly,Employed by a company that performs advanced analytics,Yes,Master's degree,Mathematics or statistics,I don't write code to analyze data,R,NA,NA,NA
7084,NA,Female,Egypt,19,"Not employed, and not looking for work",Yes,"Yes, I'm focused on learning mostly data science skills",NA,NA,NA,NA,NA,Yes,I did not complete any formal education past high school,NA,NA,Python,NA,NA,NA
7085,NA,Male,Egypt,22,"Not employed, but looking for work",NA,NA,NA,NA,NA,NA,NA,Yes,Bachelor's degree,Mathematics or statistics,Less than a year,Python,NA,NA,NA
7086,NA,Male,Egypt,25,Employed full-time,NA,NA,No,Yes,Software Developer/Software Engineer,Fine,Employed by college or university,Sort of (Explain more),Bachelor's degree,Other,Less than a year,Python,NA,NA,NA
7087,NA,Male,Egypt,22,"Not employed, but looking for work",NA,NA,NA,NA,NA,NA,NA,Sort of (Explain more),Bachelor's degree,Engineering (non-computer focused),I don't write code to analyze data,Python,NA,NA,NA
7088,NA,Female,Egypt,25,Employed full-time,NA,NA,Yes,NA,Researcher,NA,Employed by college or university,Yes,Bachelor's degree,Electrical Engineering,Less than a year,Matlab,3000,NA,NA
7089,NA,Male,Egypt,23,"Not employed, but looking for work",NA,NA,NA,NA,NA,NA,NA,No,Bachelor's degree,Electrical Engineering,Less than a year,Python,NA,NA,NA
7090,NA,Male,Egypt,33,Employed full-time,NA,NA,Yes,NA,Other,Fine,Employed by company that makes advanced analytic software,No,Bachelor's degree,Electrical Engineering,6 to 10 years,R,NA,NA,NA
7091,NA,Male,Egypt,23,"Independent contractor, freelancer, or self-employed",NA,NA,Yes,NA,Programmer,Fine,"Employed by college or university,Self-employed",No,Bachelor's degree,Computer Science,Less than a year,NA,NA,NA,NA
7092,NA,Female,Egypt,23,"Not employed, but looking for work",NA,NA,NA,NA,NA,NA,NA,No,Bachelor's degree,Computer Science,Less than a year,Python,NA,NA,NA
7093,NA,Male,Egypt,31,Employed full-time,NA,NA,No,Yes,Other,Fine,Employed by a company that doesn't perform advanced analytics,No,Bachelor's degree,Computer Science,I don't write code to analyze data,Python,NA,NA,NA
